deaths,new cases,total cases
24499.0,500.0,1.25074e6
24501.162529595793,530.5850531436383,1.2512985887904642e6
24504.404211104153,478.66161423976894,1.2517537096339697e6
24508.299390431617,422.81044271951953,1.2521473246918605e6
24512.558333731253,390.82356265646536,1.2525196465897316e6
24517.00011343222,390.5380805606809,1.2529073639246481e6
24521.520407682274,420.49107819257114,1.2533405173196765e6
24526.060061876186,474.7819967908158,1.2538407161134426e6
24530.582742249113,546.1575583724795,1.2544214343053382e6
24535.064561031388,627.940990313702,1.2550896417733892e6
24539.492387106424,715.0008700736947,1.255847899503946e6
24543.865348982406,804.0514453276945,1.2566964003351042e6
24548.195565047885,893.551707692112,1.2576346893496446e6
24552.506831018018,983.3726236073339,1.2586629228325975e6
24556.831831874195,1074.3455554153556,1.2597826084735836e6
24561.20896232913,1167.7786793459286,1.260996840027324e6
24565.679543076676,1265.010601645627,1.262310099650272e6
24570.285742291166,1367.0796069215378,1.2637277797380658e6
24575.069209382385,1474.6280947782209,1.26525571258699e6
24580.07036892522,1588.1469197055446,1.2669000902080159e6
24585.328360867145,1708.3464400246787,1.268667940973325e6
24590.8814659064,1836.1606595346045,1.2705673564900272e6
24596.767325990306,1971.0109735172464,1.2726053246232318e6
24603.02147534011,2107.8547792826707,1.274781861300332e6
24609.67357226228,2236.7876377515836,1.2770842319734604e6
24616.743058201635,2347.476763151601,1.2794888161927355e6
24624.23809919649,2436.919289201979,1.2819720738476573e6
24632.159242687183,2511.265290334835,1.2845213600470773e6
24640.50485355271,2579.1474574590293,1.287134712694306e6
24649.273613166697,2643.4475987052947,1.289810694931634e6
24658.463153065688,2702.646051162807,1.2925433837030719e6
24668.069710389693,2759.09338830296,1.2953306040380597e6
24678.091710648394,2821.994924395605,1.2981829860564126e6
24688.534445620848,2900.3249303606035,1.3011210550823773e6
24699.411086600092,2995.328341344731,1.3041627548080431e6
24710.738660995226,3097.8774464385297,1.3073118931294165e6
24722.53143457647,3194.26273670269,1.3105554157284054e6
24734.795477035845,3272.7601031888553,1.3138692315026806e6
24747.52663056557,3328.040445126071,1.3172268715985965e6
24760.711613199644,3361.0137265640815,1.3206060620552492e6
24774.33086812947,3376.6357963455644,1.3239916724147513e6
24788.361753168654,3381.189191926652,1.3273757997027887e6
24802.78124008128,3380.5798811680997,1.330756312893467e6
24817.56771981244,3379.3234009750713,1.3341349138487438e6
24832.701967964425,3380.156370862955,1.3375152323823282e6
24848.167357442147,3384.212021636848,1.3409012049426525e6
24863.949487241327,3391.2530170166847,1.3442957778878843e6
24880.035400601268,3399.887419676209,1.3476999325106202e6
