horizon,metric,deaths,new cases,total cases
7,mae,94.13079018794936,209.7295347960981,1151.5644194039353
7,mape,22.726514910581948,27.792350644277125,3.0708360422340784
7,rmse,94.2829195879267,214.49060955362432,1239.18708975983
14,mae,87.74473279478259,179.14302109278196,1809.5775524063417
14,mape,20.67289642851494,23.32278031103567,4.441398933032698
14,rmse,88.07070696123488,186.38254486645866,1961.3632702417347
21,mae,87.77523897146291,173.20362804917428,2364.3154412631766
21,mape,19.90578039967813,22.84647867486313,5.37836550152417
21,rmse,87.99544248315198,178.9358929080013,2573.6129207208014
28,mae,87.10564972223315,177.25229279146416,2948.0219473754414
28,mape,19.115423554319698,24.772897216352817,6.268165199765028
28,rmse,87.28774914320584,181.68760259496278,3243.384958473755
