deaths,new cases,total cases
660.6775217628992,398.9489946231911,2116.1520793167
767.8905038157391,180.76125040613033,1879.639434786266
868.5395771960382,251.4307876297562,1576.785341228533
972.4919782007642,360.912223813697,1168.7456918954704
1075.318978425626,439.83467359845827,685.6449704189145
1176.2960732876322,443.0182439593905,202.73399931950553
1315.831296283256,559.0453645221323,393.24511337721196
1451.893823556033,715.6023142893769,1143.3484610682062
1592.8723186506795,687.2841401735773,1863.2123327676672
1729.145617630532,691.6809676968187,2585.7359798078833
1863.367247452661,794.6321416001497,3409.591709063505
2008.3212337701325,932.5574123001338,4369.7200338678085
2165.2041512620244,960.8427283314463,5356.122777211713
2280.76790615764,986.6043959386625,6366.41264551584
2441.175168991485,982.5965850357111,7370.465257059899
2604.852573337476,1149.3995411047945,8538.695308533352
2769.348393340455,1334.1615006631523,9889.25954972321
2935.3388241166926,1586.6472779602232,11490.651438170404
3092.063598366029,1544.802171070076,13049.62458062818
3245.330687789781,1860.2283517436995,14924.082479112927
3437.5182132407726,2089.4666092529433,17028.24723537627
3581.0054261215846,2230.3892805623823,19274.316788974393
3711.3179302188537,2498.6176434756685,21789.889291041298
3800.4091765357334,2650.500853277968,24457.961890022532
3946.0826496243944,2695.980646016521,27171.476809455955
4085.9880714678084,3019.1228239221887,30207.39677461484
4221.3361881922,3496.896954503975,33720.631477620365
4355.336734109723,3333.969730108253,37071.363836674456
