horizon,metric,deaths,new cases,total cases
7,mae,969.4000897390237,139.15145091258904,2880.5323914331675
7,mape,35.43879543782117,3.560460537010622,2.431724870893471
7,rmse,991.7781691468285,163.29470734825944,2897.9822333972993
14,mae,1403.9594162622288,379.4155099292887,2038.9190501099324
14,mape,38.084047188918824,9.803773183311952,1.623111048076655
14,rmse,1489.429863013572,466.37724384513416,2269.5909016372775
21,mae,1891.890301104934,742.7748158554372,3863.1594536167213
21,mape,40.05211198934214,17.905040537417808,2.489191348163962
21,rmse,2062.595580356355,960.5954343408453,5067.508240377112
28,mae,2387.1554358413405,1297.5978369722486,8875.541382324056
28,mape,41.45426282467016,27.166398215828924,4.70007595010093
28,rmse,2637.651682487277,1713.5830888573023,13108.588989963584
