horizon,metric,deaths,new cases,total cases
7,mae,727.9047133336343,2006.0800802050217,39553.840370242084
7,mape,0.1162621228440189,1.3432842724448049,0.10604897563126392
7,rmse,834.8183226282165,2415.311317414901,39745.36146980515
14,mae,1689.680507369855,6775.295943254705,30561.906618900066
14,mape,0.26729627928515703,4.326497809739728,0.08103015740735886
14,rmse,2022.8400016148205,8842.444498554732,33712.85204424336
21,mae,2986.8785698898246,12426.818449733648,71921.57884730434
21,mape,0.4671947583127751,7.765995073297012,0.18410076394640493
21,rmse,3662.5658234103093,16039.493251682745,97776.40253686639
28,mae,4512.89293669074,16943.42406588503,137006.4241793169
28,mape,0.6974277953300383,10.770579177807402,0.3424170686118194
28,rmse,5576.518840748158,21371.281021161663,189405.40023015573
