horizon,metric,deaths,new cases,total cases
7,mae,2.355692527544458,88.00473414420699,241.28353981986947
7,mape,3.9434564335479165,25.490656225499635,2.080556867183326
7,rmse,2.420468780874606,97.96874878532705,313.86955358870904
14,mae,2.2211825579366704,99.46915394290485,643.697095416783
14,mape,3.539969152559197,29.14016151825571,4.894094253340916
14,rmse,2.309851234399919,106.41045992082499,785.3829074414128
21,mae,1.6758982291533737,161.45426214764325,1206.6955604324514
21,mape,2.60919035888932,38.39006331749887,7.993521236390663
21,rmse,1.9289985447772295,194.46996327900362,1533.63162669339
28,mae,3.301209785991304,342.4085167048775,2512.9134414568675
28,mape,4.062115126017128,49.265845432032236,13.275740776033174
28,rmse,5.07355234638385,490.0631204294328,3605.529748710588
