deaths,new cases,total cases
164.5249195951037,604.9033067862038,54429.66110035032
348.15306537633296,156.71228719540522,55574.30294917524
571.6288236696273,116.12761509322445,56963.360950149596
814.6181060317904,237.21061442189966,58474.76659628749
1035.7192701216554,3639.4456686532358,63405.070684954524
1282.906147202826,3757.8899552904477,68498.28657592833
1564.8029197133146,5847.896999518096,75700.81056547165
1869.6105716472957,6985.781459294143,84030.56276613474
2214.6885877245804,5700.167334762751,91042.54083120078
2571.729050471564,8489.984983081085,100786.36498965323
2917.7572444465477,11588.56548978237,113560.65034162253
3254.84287498286,12961.2628468748,127642.46561200172
3622.6420484986156,11969.275548424339,140689.09311240911
3969.821485022898,12001.052269292471,153718.28562294692
4370.8973885461455,9287.91534295681,164005.75772352517
4852.711149879848,12457.52631981505,177392.9874591604
5345.595618658466,15241.828995235497,193477.15839686245
5812.425662611029,15390.374690913246,209551.86227932572
6270.939708520542,16231.318454240507,226332.19874011725
6537.985768149025,43177.368857289286,270037.58096271753
6880.087149203871,30578.377333408192,301066.45593432337
7233.629297641106,33948.89623315699,335340.8164158985
7611.297827190021,36612.089659375284,372221.9549018964
8032.011893363553,38179.33014982147,410658.2993856445
8453.893138645333,38795.56567786698,449740.6584718749
8843.546082131797,39978.009881312406,490019.25320726633
9439.619807305047,15562.729427858896,505820.31021632254
9983.553255956387,32951.09617745111,538945.011853084
