horizon,metric,deaths,new cases,total cases
7,mae,826.0504645300929,2051.455206708359,61863.751346045305
7,mape,0.13193621126562996,1.3701805714961803,0.16559522679580835
7,rmse,949.1207919060749,2976.7053277605173,62287.40407828918
14,mae,1871.6746510360722,6004.019741319319,88894.01590702044
14,mape,0.2961189921424445,3.8485347764362694,0.23349720808008906
14,rmse,2225.0235792570465,7582.763889871895,94595.8201373762
21,mae,3155.9089314320922,10781.95173201567,132684.7725806818
21,mape,0.4938522898265991,6.973938832591788,0.34112650083565016
21,rmse,3803.0626442352163,14765.446590173884,151150.55458907396
28,mae,4495.415673653828,16516.02512782758,210325.94745165374
28,mape,0.6954427983773007,10.858662421491562,0.528534472877161
28,rmse,5401.566676529875,21514.389757118766,259678.41508772495
