horizon,metric,deaths,new cases,total cases
7,mae,32.570511285133634,797.7541689101935,1535.1755260827736
7,mape,0.47090952880623665,26.78217246676131,0.33337380202787487
7,rmse,36.26671828976111,865.7312143314454,1736.3481888744875
14,mae,74.0999661564209,790.2386370617494,2209.2889561176626
14,mape,1.0524377017745332,30.444739266938882,0.4653815367701158
14,rmse,88.39720597846663,874.9643580569929,2506.8272540537364
21,mae,127.31273841760702,671.3535752732826,1664.3216747067968
21,mape,1.7719486770461454,26.827292846077462,0.34836275704528685
21,rmse,154.36805644513848,775.1192729978368,2097.627857373927
28,mae,184.2613421277605,689.3742478507893,2479.6982751870673
28,mape,2.51306802324035,28.74557616066858,0.4991231677963877
28,rmse,223.06102468461802,779.8130865971261,3145.164846765392
