deaths,new cases,total cases
69.2122959370933,19.895160640282597,274.02374393950595
76.5722288840401,14.387274351085125,239.84553272483754
83.65676684595047,16.678313433337735,237.7123934683841
82.33241761973068,14.749821912821744,205.50622020470473
80.31907726018869,42.87628928746619,146.76907581413252
77.04758373868134,84.87855010594092,47.817459271871485
72.23185494701255,82.63054700026555,47.285515908639354
67.29823173319028,121.82105330335696,180.20039411250036
63.385910323298276,168.76254000426127,358.83332186276675
61.775907922951205,251.52605246883297,619.1816510440476
61.31999059000651,275.3077442421285,902.4383389237191
62.29808862956361,259.9976401058466,1169.6674191937564
63.98994386426813,236.9855041089778,1413.3038660622042
66.67524505782461,277.3188623071219,1696.7894312492135
69.63373300095708,284.2996433499792,1986.8531278154987
72.71670679417713,275.90624919803037,2268.184438143304
74.48993052603458,276.4001054959312,2549.7253206689275
76.09084181135273,216.60160262735104,2771.2561365627844
77.08565691667206,237.02087909177146,3012.9525250306324
78.32651940324405,258.0593985078876,3275.488697996203
79.38013444117195,247.53446462065892,3527.352311283059
80.38491270651673,203.7652639158904,3735.3223528744275
81.05094870033452,206.60725580705088,3946.0129854911065
81.5171333049563,196.91371300065123,4146.884703692915
81.77973190463814,214.03000692278357,4364.775201045668
81.97810457822663,198.41547098138375,4566.973308649416
82.25183014893281,176.91534330883331,4747.58583718646
82.02637341594726,162.33676016700423,4913.500661854581
