horizon,metric,deaths,new cases,total cases
7,mae,70.09588489604728,130.5326156729871,925.7806871409276
7,mape,16.938668190581797,17.34129559272482,2.477820082363206
7,rmse,70.28834647717686,135.18694984559303,968.7379081679479
14,mae,59.08746390485294,84.02813557818045,1216.7727754964212
14,mape,13.976493155878863,11.122368113429633,3.021792605751612
14,rmse,60.26988198092973,103.39545382057523,1267.3553325122589
21,mae,55.63310851714463,63.19885857684844,1278.62717520919
21,mape,12.715741866808289,8.373462149812852,2.993831712135178
21,rmse,56.6845814000731,85.47221268167343,1314.0017039506292
28,mae,52.64394882777689,51.98790530466091,1307.4937508446562
28,mape,11.686240325613126,7.033236360979201,2.909244626211484
28,rmse,53.744016037187976,74.75787699000799,1334.5111670482574
