horizon,metric,deaths,new cases,total cases
7,mae,51.60510914854812,1126.8054706488306,2898.7706057032506
7,mape,0.20647564053372275,24.14055825521806,0.21169901988583703
7,rmse,54.81312187517524,1297.2855357308085,3633.09308653149
14,mae,87.97516378153757,802.6262333214485,6376.007653889995
14,mape,0.35034576695906355,17.609716651132775,0.4598542993772387
14,rmse,97.17609772402636,1085.4848588594234,7440.513835440569
21,mae,126.97586208666429,557.7860931084034,7690.419113120763
21,mape,0.5031933071327446,12.784782289782054,0.5505705570346406
21,rmse,143.41308412231913,887.8814694337135,8509.197737886856
28,mae,171.72115848327863,498.9166546041206,7974.477521022441
28,mape,0.676966760730788,14.89679131471393,0.5679879989880081
28,rmse,197.69911011565378,794.108993431671,8596.755091757137
