horizon,metric,deaths,new cases,total cases
7,mae,46.02138540019041,1022.4381225501089,2429.7980854019074
7,mape,0.6656200922500457,30.84962235993136,0.5197081447784587
7,rmse,50.000175237929476,1193.353542909104,3193.7995090305412
14,mae,95.33875590699907,890.2571074421809,5883.93168303652
14,mape,1.3550146823330536,28.651663627930635,1.224192139749872
14,rmse,111.18040576510722,1093.09562810757,6993.097886479322
21,mae,158.34340684474833,715.1598580160064,7611.514131459325
21,mape,2.205459807538514,23.718493051961197,1.5530558176492801
21,rmse,189.1618321421524,932.11356630968,8583.82574037144
28,mae,227.1238065445199,605.536307206217,8785.00144374839
28,mape,3.0994712836248195,20.795997775907885,1.7603995201663603
28,rmse,272.6823851274923,824.1596035809202,9652.091072829628
