deaths,new cases,total cases
24499.0,500.0,1.25074e6
24500.39486630419,543.4067055886861,1.251315819655781e6
24502.5123456057,522.0171660150148,1.2518286503033992e6
24505.141448471404,500.9444437514018,1.252317967869705e6
24508.152796141727,497.291296984872,1.252811810785982e6
24511.468744282156,513.0136943514559,1.2533311703847593e6
24515.04314143326,544.4370612952165,1.2538901997002831e6
24518.846493730896,587.586758539272,1.254498512031078e6
24522.85923053594,640.2307387492692,1.2551643357263105e6
24527.06878712136,701.114491650371,1.2558952462684673e6
24531.46754191553,769.2167002200636,1.2566979623726294e6
24536.050619520163,842.5631627273999,1.2575767935934404e6
24540.814136559624,919.8060524085618,1.258535006890484e6
24545.75487368836,1000.7344102933044,1.259575827556763e6
24550.87245521158,1086.789554710231,1.260705203535512e6
24556.16963775677,1177.542890417141,1.2619277609602443e6
24561.651155160176,1272.4420181966073,1.2632473189408858e6
24567.323497117137,1370.8185363678795,1.264667078135029e6
24573.194499630787,1472.1927426003,1.2661897165941158e6
24579.273418830213,1576.3797688526597,1.2678179547029706e6
24585.570851310495,1682.8801217272792,1.2695539131267401e6
24592.098253342447,1791.0604335625558,1.2713989274783297e6
24598.86809919804,1901.678068807493,1.273355731274466e6
24605.89432571609,2014.9113675787173,1.275427052761623e6
24613.191848771843,2130.369366827198,1.2776149424916566e6
24620.776092119908,2246.6576306648,1.279919800663984e6
24628.66134769575,2360.3421421346857,1.2823373330304602e6
24636.859176078866,2467.93338686571,1.2848596761954834e6
24645.377610548392,2566.9025049497864,1.2874768811625768e6
24654.220842559404,2655.6073332279266,1.290177700240779e6
24663.390134510748,2736.8353309736585,1.292955548382593e6
24672.886675096757,2815.357137659143,1.2958102805779625e6
24682.71243933468,2891.9819339297637,1.298740815427612e6
24692.86920310484,2966.5275147267134,1.3017448148427824e6
24703.358532569542,3039.1040930661493,1.3048204549916964e6
24714.18106433152,3107.406974917559,1.307962486404735e6
24725.335589210772,3170.2615589398697,1.311164671581968e6
24736.818741582476,3225.7897787954957,1.3144188696720595e6
24748.62460876326,3273.427746508574,1.3177167753453222e6
24760.745140239436,3313.7640167197646,1.3210512999357276e6
24773.17062684805,3347.0208406393044,1.3244155649761055e6
24785.88957812997,3372.8167297016494,1.327801896036035e6
24798.888785689873,3391.2381725796954,1.3312029856649677e6
24812.153347901232,3402.0693024768657,1.334611027046582e6
24825.666996095642,3406.104468747885,1.3380196996765065e6
24839.41242444084,3403.574219167173,1.3414225902021301e6
24853.371188180925,3394.1516485437096,1.3448126006625155e6
24867.523905576694,3379.2590661726335,1.3481847972032218e6
