deaths,new cases,total cases
10.142857142857142,1294.857142857143,13009.57142857143
14.780823168271453,1450.7906555319778,14559.6717520756
22.297549994468092,1485.2624600545535,16064.567202035947
32.34305372635283,1518.789328253619,17598.825125908847
44.69390863784173,1568.4204584267636,19190.856351695056
59.171966279562234,1628.8434281572252,20849.308994459112
75.61348468606874,1694.0601843711122,22575.742051671215
93.86073367322305,1761.3405124553342,24370.581023173254
113.76277954471949,1830.7055275198406,26235.73980587193
135.17919431248947,1903.7391490503048,28175.607763106294
157.98394166998398,1982.7492152438074,30197.263179342823
182.06836395485647,2070.177058291502,32310.34465925247
207.34299005418626,2168.3513002792256,34526.79179792512
233.73820008306242,2279.388568943064,36860.54658707463
261.2039449351925,2405.1108567346414,39327.23553801641
289.70865827940975,2547.0345164153096,41943.82868898873
319.23753072587806,2706.268094816298,44728.23004610633
349.7901619080857,2883.4303766125686,47698.74156772896
381.3775688449245,3078.4853438761,50873.292244147466
414.0183868595083,3290.2704835645695,54268.24758081137
447.73394224902455,3516.4598669901425,57896.67060768526
482.5418687418602,3751.8518343840674,61765.726712832875
518.4477727744242,3988.9382319498254,65873.53269692522
555.4356261908749,4217.315265656716,70206.19298488932
593.4587837802937,4425.385576948177,74737.69380460838
632.4369341553286,4606.476248376874,79436.96686104216
672.2672039267214,4767.854527833874,84286.26353020054
712.8556111147965,4938.433307832766,89307.52817660797
754.1595621778634,5152.521256979484,94563.1857485001
796.1742083972597,5362.809501038431,100038.02174914746
838.7652367335965,5377.385544203969,105447.24181224946
881.5134115321124,5102.302852240256,110432.34537590406
923.8749807762304,4676.442019165688,114900.99207052228
965.4034030779437,4247.150802728252,118930.02939859172
1005.8000343351553,3879.6592837120415,122619.5453413617
1044.8928428035729,3596.812377698755,126067.26344323157
1082.6169403897493,3412.695962812956,129379.14403403296
1119.0023489044136,3335.1202102391867,132666.7118638385
1154.1525644196956,3351.6135284801526,136019.96746362286
1188.2067965979504,3425.3089421901086,139479.4157188863
1221.2983976479827,3509.4530843183466,143031.8601816292
1253.526605367665,3565.930045963606,146629.4368700077
1284.9484142226602,3576.1728448331455,150214.8406397981
1315.5853063599284,3539.203464776772,153739.18757194022
1345.4361265191897,3464.7030494334986,157169.21002230636
1374.4894660654904,3365.717916208356,160486.95840985538
1402.7326680732097,3254.336399607281,163686.21454293033
1430.157066282797,3139.611867005399,166768.45265885483
