horizon,metric,deaths,new cases,total cases
7,mae,5.8473479343998145,22.545046467510392,678.7567023600319
7,mape,0.0548785324924527,2.3768372481881737,0.1173267697278629
7,rmse,6.2913695022448355,28.432292137174734,679.6407020459018
14,mae,13.181366183115772,35.34131661104234,612.9534418429248
14,mape,0.1232175727984579,3.5165069104108513,0.10542733084355714
14,rmse,15.799951029118072,45.17312015933969,621.264709630651
21,mae,21.38042258873455,70.16804885060685,465.4743467921646
21,mape,0.199096933495383,7.130886608290149,0.079871593548036
21,rmse,25.49141438308082,92.66123770251704,519.4195718538645
28,mae,29.629061557980354,83.69560724994838,486.9647171796657
28,mape,0.27484674478627474,8.10460560741945,0.0828491902529495
28,rmse,35.08785259993472,119.3960133373504,548.6725115652911
