horizon,metric,deaths,new cases,total cases
7,mae,61.18884513062793,157.5301195457539,358.23025562867616
7,mape,21.73164850670437,27.70660621928391,1.732883203097065
7,rmse,63.48412421583076,168.86938108434262,408.2399829335038
14,mae,92.51232108376958,163.22891280278364,791.8555058640383
14,mape,30.444688266982194,29.23078170229504,3.278420109016068
14,rmse,99.23824733856961,176.953783847018,942.7788404243439
21,mae,124.79950301521839,112.80845685326102,1084.391057073459
21,mape,38.414238811576915,20.65561700830018,4.180081446971516
21,rmse,136.51025279326657,144.75242655154022,1233.6200360150747
28,mae,157.13598713225704,98.18547851670688,1193.0838424385402
28,mape,45.59347870361035,21.63743733365657,4.409852603644294
28,rmse,173.81012357613832,128.61172772689713,1312.1843381836247
