horizon,metric,deaths,new cases,total cases
7,mae,8.248303914145522,188.47942613738155,558.175161017659
7,mape,2.931461306918016,33.29027063671639,2.541250010434324
7,rmse,8.549751255413227,198.77273247280118,694.9309880300563
14,mae,11.774758003319416,197.56580451966815,1400.0490662768839
14,mape,3.8896439940391554,35.80213184916712,5.699045957398146
14,rmse,12.431588260386377,209.1705389651418,1684.3448576620801
21,mae,14.507446359120495,150.50215913286752,1927.495762751962
21,mape,4.5068527751426855,29.57259846216589,7.360353190573964
21,rmse,15.371906256149362,173.9316689381645,2204.703186579955
28,mae,16.404404190792743,116.80405941637648,2237.3855853072737
28,mape,4.840595329222971,23.893022601701702,8.17502698771669
28,rmse,17.30306265130247,150.9183046271648,2480.5656880510314
