deaths,new cases,total cases
10.142857142857142,1294.857142857143,13009.57142857143
14.941648782362636,1434.729317920819,14537.933364777315
22.616881095878288,1438.624300513085,15981.173690304782
32.73324404452142,1448.4220892994229,17432.136083113557
45.04543207316205,1493.5244211477302,18945.14244117152
59.41136038268551,1570.8113412908026,20552.433952802076
75.7305273513954,1665.1564631771284,22263.87505957431
93.90366822864246,1765.3902852683054,24079.253528064142
113.82301480977318,1866.8297714485873,25996.8377657154
135.37549743196038,1968.1726995899178,28015.70246828808
158.44379173754015,2067.591014358956,30133.096234079192
182.90824565592266,2166.771326775214,32349.584274826837
208.6464844039289,2259.644213946671,34656.45699951554
235.52102353791417,2343.0086970736897,37041.96010990675
263.38826879780754,2419.1594218196956,39499.715270129804
292.1180950682175,2504.1995629361695,42045.18021346741
321.629109593207,2615.3790248944683,44713.5395693582
351.89567014701123,2761.16066738142,47544.49120050348
382.94109189413643,2946.4131352416075,50580.79949898777
414.82589213848144,3172.3891446000475,53863.04305705216
447.6434351088567,3443.7627058609255,57438.21202586526
481.521893949349,3764.5503970665495,61359.03583231343
516.5982170759638,4106.206558438709,65636.0386819263
552.9531163712155,4429.685275446696,70229.90227776642
590.5903352820246,4708.454801249038,75082.13293340686
629.4315993778552,4918.90980832447,80112.47635158052
669.3216401151103,5056.364900747772,85243.49483070537
710.0469977417096,5101.02550885661,90376.14712706083
751.3226798146874,5050.470603787174,95408.05374217332
792.8445385717255,4935.85222984338,100290.72543415845
834.3267875364407,4780.530950112825,104996.18032567736
875.5168911782331,4610.842894471075,109522.13531170276
916.212497948797,4440.678100862473,113877.87719584885
956.2484625205959,4269.755387896201,118061.85309200262
995.4959117660339,4111.472929137677,122092.66718615418
1033.866878425966,3969.42174577413,125989.72962089609
1071.304623393112,3845.2942016758107,129771.48459106291
1107.7799101595572,3740.327085438895,133457.70660284662
1143.2852023535143,3651.00211066331,137062.91842108782
1177.826657680972,3573.32098125869,140596.54012509866
1211.4201333553465,3505.371995658242,144067.19866929637
1244.0886218509065,3444.7320516268874,147481.0953993423
1275.85972418646,3390.9626125216296,150844.59493695275
1306.764904841512,3342.399427767386,154162.37236496908
1336.8366287012188,3296.7866734318536,157436.11639011625
1366.106945505953,3252.1840826952516,160665.9732364777
1394.6073089042359,3210.305310087158,163855.02463926293
1422.370185405215,3171.5820216388506,167007.03471183885
