deaths,new cases,total cases
10282.0,265.0,560446.0
10283.457894387022,288.3101092128359,560751.5997357771
10285.801788353449,277.4399469170915,561024.4169594338
10288.893264607514,266.2797548441848,561284.6000518615
10292.658278922943,263.04221954426976,561545.2931926962
10297.06262147217,268.1094807830012,561815.2988024531
10302.095698902134,279.9784598057303,562100.715247886
10307.758967787997,297.06722999573856,562405.9490457268
10314.056525469041,318.1474484832392,562734.3446432175
10320.986131514232,342.35936561305846,563088.5763558366
10328.529428402655,369.1277409057904,563470.8935929396
10336.64084977558,398.0751921019569,563883.2736035188
10345.23591141453,428.9550822197483,564327.5160911409
10354.181490206485,461.6034332695547,564805.3008716856
10363.293145596284,495.90480067972106,565318.2217473214
10372.34569439401,531.7748409605755,565867.8054707738
10381.100179021532,569.150021409345,566455.5209542254
10389.342738356272,607.9705369443765,567082.781465445
10396.92208166614,648.1719241841856,567750.942959088
10403.769839031058,689.7000110376819,568461.300978912
10409.898182212857,732.4924484058607,569215.0839222741
10415.379329546058,776.4677195252203,570013.445800561
10420.319356745385,821.5575845464443,570857.4609202316
10424.835323966061,867.6795018416011,571748.1148832622
10429.03975442022,914.7275348204769,572686.2970363706
10433.032690049547,962.6190746035761,573672.7961034249
10436.898808811695,1011.2425861701879,574708.2907603091
10440.707690108362,1060.4776086863587,575793.345198529
10444.515470087537,1110.2276101658213,576928.4054779895
10448.367023420595,1160.3490791220527,578113.7913635183
10452.298069834664,1210.7289352490277,579349.6971984482
10456.33701419894,1261.2438283968438,580636.1864792969
10460.506509604018,1311.740570539816,581973.1894967055
10464.824648003418,1362.1180349734682,583360.5063744746
10469.30593461213,1412.214526049702,584797.800952759
10473.96201126435,1461.9156014235355,586284.6077514612
10478.802214931862,1511.090230110826,587820.329379327
10483.834011939376,1559.590879166926,589404.2398753149
10489.063306419805,1607.3244422318828,591035.4908104932
10494.494699891526,1654.1263025665912,592713.1090302086
10500.131662456537,1699.9206630695016,594436.0096333447
10505.976687740918,1744.5583586651621,596202.992094601
10512.031392472285,1787.9560124493635,598012.7542707768
10518.296608236908,1830.0001940318994,599863.8922078921
10524.772446537836,1870.5928662409463,601754.9106647891
10531.458352032772,1909.6599225276605,603684.2289146758
10538.353151851617,1947.0984146010771,605650.186761973
10545.455088320774,1982.8522925005066,607651.0545794441
